"","origin_ID","dest_ID","ID","Prediction","date"
"1","US, MO","US, AR","US, MO-US, AR",133,2020-01-01
"2","US, MO","US, AR","US, MO-US, AR",133,2020-01-02
"3","US, MO","US, AR","US, MO-US, AR",133,2020-01-03
"4","US, MO","US, AR","US, MO-US, AR",133,2020-01-04
"5","US, MO","US, AR","US, MO-US, AR",133,2020-01-05
"6","US, MO","US, AR","US, MO-US, AR",133,2020-01-06
"7","US, MO","US, AR","US, MO-US, AR",133,2020-01-07
"8","US, MO","US, AR","US, MO-US, AR",133,2020-01-08
"9","US, MO","US, AR","US, MO-US, AR",134,2020-01-09
"10","US, MO","US, AR","US, MO-US, AR",134,2020-01-10
"11","US, MO","US, AR","US, MO-US, AR",134,2020-01-11
"12","US, MO","US, AR","US, MO-US, AR",134,2020-01-12
"13","US, MO","US, AR","US, MO-US, AR",135,2020-01-13
"14","US, MO","US, AR","US, MO-US, AR",135,2020-01-14
"15","US, MO","US, AR","US, MO-US, AR",135,2020-01-15
"16","US, MO","US, AR","US, MO-US, AR",136,2020-01-16
"17","US, MO","US, AR","US, MO-US, AR",136,2020-01-17
"18","US, MO","US, AR","US, MO-US, AR",137,2020-01-18
"19","US, MO","US, AR","US, MO-US, AR",137,2020-01-19
"20","US, MO","US, AR","US, MO-US, AR",137,2020-01-20
"21","US, MO","US, AR","US, MO-US, AR",138,2020-01-21
"22","US, MO","US, AR","US, MO-US, AR",138,2020-01-22
"23","US, MO","US, AR","US, MO-US, AR",139,2020-01-23
"24","US, MO","US, AR","US, MO-US, AR",140,2020-01-24
"25","US, MO","US, AR","US, MO-US, AR",140,2020-01-25
"26","US, MO","US, AR","US, MO-US, AR",141,2020-01-26
"27","US, MO","US, AR","US, MO-US, AR",141,2020-01-27
"28","US, MO","US, AR","US, MO-US, AR",142,2020-01-28
"29","US, MO","US, AR","US, MO-US, AR",143,2020-01-29
"30","US, MO","US, AR","US, MO-US, AR",144,2020-01-30
"31","US, MO","US, AR","US, MO-US, AR",144,2020-01-31
"32","US, MO","US, AR","US, MO-US, AR",145,2020-02-01
"33","US, MO","US, AR","US, MO-US, AR",146,2020-02-02
"34","US, MO","US, AR","US, MO-US, AR",146,2020-02-03
