"","origin_ID","dest_ID","ID","Prediction","date"
"1","US, MA","US, MN","US, MA-US, MN",46,2020-01-01
"2","US, MA","US, MN","US, MA-US, MN",46,2020-01-02
"3","US, MA","US, MN","US, MA-US, MN",45,2020-01-03
"4","US, MA","US, MN","US, MA-US, MN",44,2020-01-04
"5","US, MA","US, MN","US, MA-US, MN",43,2020-01-05
"6","US, MA","US, MN","US, MA-US, MN",42,2020-01-06
"7","US, MA","US, MN","US, MA-US, MN",40,2020-01-07
"8","US, MA","US, MN","US, MA-US, MN",38,2020-01-08
"9","US, MA","US, MN","US, MA-US, MN",36,2020-01-09
"10","US, MA","US, MN","US, MA-US, MN",33,2020-01-10
"11","US, MA","US, MN","US, MA-US, MN",30,2020-01-11
"12","US, MA","US, MN","US, MA-US, MN",27,2020-01-12
"13","US, MA","US, MN","US, MA-US, MN",23,2020-01-13
"14","US, MA","US, MN","US, MA-US, MN",20,2020-01-14
"15","US, MA","US, MN","US, MA-US, MN",16,2020-01-15
"16","US, MA","US, MN","US, MA-US, MN",11,2020-01-16
"17","US, MA","US, MN","US, MA-US, MN",6,2020-01-17
"18","US, MA","US, MN","US, MA-US, MN",2,2020-01-18
"19","US, MA","US, MN","US, MA-US, MN",0,2020-01-19
"20","US, MA","US, MN","US, MA-US, MN",0,2020-01-20
"21","US, MA","US, MN","US, MA-US, MN",0,2020-01-21
"22","US, MA","US, MN","US, MA-US, MN",0,2020-01-22
"23","US, MA","US, MN","US, MA-US, MN",0,2020-01-23
"24","US, MA","US, MN","US, MA-US, MN",0,2020-01-24
"25","US, MA","US, MN","US, MA-US, MN",0,2020-01-25
"26","US, MA","US, MN","US, MA-US, MN",0,2020-01-26
"27","US, MA","US, MN","US, MA-US, MN",0,2020-01-27
"28","US, MA","US, MN","US, MA-US, MN",0,2020-01-28
"29","US, MA","US, MN","US, MA-US, MN",0,2020-01-29
"30","US, MA","US, MN","US, MA-US, MN",0,2020-01-30
"31","US, MA","US, MN","US, MA-US, MN",0,2020-01-31
"32","US, MA","US, MN","US, MA-US, MN",0,2020-02-01
"33","US, MA","US, MN","US, MA-US, MN",0,2020-02-02
"34","US, MA","US, MN","US, MA-US, MN",0,2020-02-03
"35","US, MA","US, MN","US, MA-US, MN",0,2020-02-04
"36","US, MA","US, MN","US, MA-US, MN",0,2020-02-05
"37","US, MA","US, MN","US, MA-US, MN",0,2020-02-06
"38","US, MA","US, MN","US, MA-US, MN",0,2020-02-07
"39","US, MA","US, MN","US, MA-US, MN",0,2020-02-08
"40","US, MA","US, MN","US, MA-US, MN",0,2020-02-09
"41","US, MA","US, MN","US, MA-US, MN",0,2020-02-10
"42","US, MA","US, MN","US, MA-US, MN",0,2020-02-11
"43","US, MA","US, MN","US, MA-US, MN",0,2020-02-12
"44","US, MA","US, MN","US, MA-US, MN",0,2020-02-13
"45","US, MA","US, MN","US, MA-US, MN",0,2020-02-14
"46","US, MA","US, MN","US, MA-US, MN",0,2020-02-15
"47","US, MA","US, MN","US, MA-US, MN",0,2020-02-16
"48","US, MA","US, MN","US, MA-US, MN",0,2020-02-17
"49","US, MA","US, MN","US, MA-US, MN",0,2020-02-18
"50","US, MA","US, MN","US, MA-US, MN",13,2020-02-19
"51","US, MA","US, MN","US, MA-US, MN",34,2020-02-20
"52","US, MA","US, MN","US, MA-US, MN",58,2020-02-21
"53","US, MA","US, MN","US, MA-US, MN",82,2020-02-22
"54","US, MA","US, MN","US, MA-US, MN",108,2020-02-23
"55","US, MA","US, MN","US, MA-US, MN",136,2020-02-24
"56","US, MA","US, MN","US, MA-US, MN",166,2020-02-25
"57","US, MA","US, MN","US, MA-US, MN",197,2020-02-26
"58","US, MA","US, MN","US, MA-US, MN",229,2020-02-27
"59","US, MA","US, MN","US, MA-US, MN",264,2020-02-28
"60","US, MA","US, MN","US, MA-US, MN",300,2020-02-29
"61","US, MA","US, MN","US, MA-US, MN",337,2020-03-01
"62","US, MA","US, MN","US, MA-US, MN",372,2020-03-02
"63","US, MA","US, MN","US, MA-US, MN",405,2020-03-03
"64","US, MA","US, MN","US, MA-US, MN",435,2020-03-04
"65","US, MA","US, MN","US, MA-US, MN",463,2020-03-05
"66","US, MA","US, MN","US, MA-US, MN",489,2020-03-06
"67","US, MA","US, MN","US, MA-US, MN",512,2020-03-07
"68","US, MA","US, MN","US, MA-US, MN",533,2020-03-08
"69","US, MA","US, MN","US, MA-US, MN",551,2020-03-09
"70","US, MA","US, MN","US, MA-US, MN",567,2020-03-10
"71","US, MA","US, MN","US, MA-US, MN",581,2020-03-11
"72","US, MA","US, MN","US, MA-US, MN",592,2020-03-12
"73","US, MA","US, MN","US, MA-US, MN",601,2020-03-13
"74","US, MA","US, MN","US, MA-US, MN",608,2020-03-14
"75","US, MA","US, MN","US, MA-US, MN",612,2020-03-15
"76","US, MA","US, MN","US, MA-US, MN",614,2020-03-16
"77","US, MA","US, MN","US, MA-US, MN",613,2020-03-17
"78","US, MA","US, MN","US, MA-US, MN",610,2020-03-18
"79","US, MA","US, MN","US, MA-US, MN",605,2020-03-19
"80","US, MA","US, MN","US, MA-US, MN",597,2020-03-20
"81","US, MA","US, MN","US, MA-US, MN",587,2020-03-21
"82","US, MA","US, MN","US, MA-US, MN",575,2020-03-22
"83","US, MA","US, MN","US, MA-US, MN",560,2020-03-23
"84","US, MA","US, MN","US, MA-US, MN",543,2020-03-24
"85","US, MA","US, MN","US, MA-US, MN",523,2020-03-25
"86","US, MA","US, MN","US, MA-US, MN",501,2020-03-26
"87","US, MA","US, MN","US, MA-US, MN",477,2020-03-27
"88","US, MA","US, MN","US, MA-US, MN",450,2020-03-28
"89","US, MA","US, MN","US, MA-US, MN",421,2020-03-29
"90","US, MA","US, MN","US, MA-US, MN",390,2020-03-30
"91","US, MA","US, MN","US, MA-US, MN",356,2020-03-31
"92","US, MA","US, MN","US, MA-US, MN",320,2020-04-01
"93","US, MA","US, MN","US, MA-US, MN",285,2020-04-02
"94","US, MA","US, MN","US, MA-US, MN",252,2020-04-03
"95","US, MA","US, MN","US, MA-US, MN",220,2020-04-04
"96","US, MA","US, MN","US, MA-US, MN",190,2020-04-05
"97","US, MA","US, MN","US, MA-US, MN",162,2020-04-06
