"","origin_ID","dest_ID","ID","Prediction","date"
"1","AS, NA","US, HI","AS, NA-US, HI",88,2020-01-01
"2","AS, NA","US, HI","AS, NA-US, HI",88,2020-01-02
"3","AS, NA","US, HI","AS, NA-US, HI",88,2020-01-03
"4","AS, NA","US, HI","AS, NA-US, HI",88,2020-01-04
"5","AS, NA","US, HI","AS, NA-US, HI",87,2020-01-05
"6","AS, NA","US, HI","AS, NA-US, HI",87,2020-01-06
"7","AS, NA","US, HI","AS, NA-US, HI",87,2020-01-07
"8","AS, NA","US, HI","AS, NA-US, HI",87,2020-01-08
"9","AS, NA","US, HI","AS, NA-US, HI",86,2020-01-09
"10","AS, NA","US, HI","AS, NA-US, HI",86,2020-01-10
"11","AS, NA","US, HI","AS, NA-US, HI",85,2020-01-11
"12","AS, NA","US, HI","AS, NA-US, HI",85,2020-01-12
"13","AS, NA","US, HI","AS, NA-US, HI",84,2020-01-13
"14","AS, NA","US, HI","AS, NA-US, HI",84,2020-01-14
"15","AS, NA","US, HI","AS, NA-US, HI",83,2020-01-15
"16","AS, NA","US, HI","AS, NA-US, HI",83,2020-01-16
"17","AS, NA","US, HI","AS, NA-US, HI",82,2020-01-17
"18","AS, NA","US, HI","AS, NA-US, HI",81,2020-01-18
"19","AS, NA","US, HI","AS, NA-US, HI",80,2020-01-19
"20","AS, NA","US, HI","AS, NA-US, HI",80,2020-01-20
"21","AS, NA","US, HI","AS, NA-US, HI",79,2020-01-21
"22","AS, NA","US, HI","AS, NA-US, HI",78,2020-01-22
"23","AS, NA","US, HI","AS, NA-US, HI",77,2020-01-23
"24","AS, NA","US, HI","AS, NA-US, HI",76,2020-01-24
"25","AS, NA","US, HI","AS, NA-US, HI",75,2020-01-25
"26","AS, NA","US, HI","AS, NA-US, HI",74,2020-01-26
"27","AS, NA","US, HI","AS, NA-US, HI",72,2020-01-27
"28","AS, NA","US, HI","AS, NA-US, HI",71,2020-01-28
"29","AS, NA","US, HI","AS, NA-US, HI",70,2020-01-29
"30","AS, NA","US, HI","AS, NA-US, HI",69,2020-01-30
"31","AS, NA","US, HI","AS, NA-US, HI",67,2020-01-31
"32","AS, NA","US, HI","AS, NA-US, HI",66,2020-02-01
"33","AS, NA","US, HI","AS, NA-US, HI",65,2020-02-02
"34","AS, NA","US, HI","AS, NA-US, HI",63,2020-02-03
"35","AS, NA","US, HI","AS, NA-US, HI",62,2020-02-04
"36","AS, NA","US, HI","AS, NA-US, HI",61,2020-02-05
"37","AS, NA","US, HI","AS, NA-US, HI",60,2020-02-06
"38","AS, NA","US, HI","AS, NA-US, HI",59,2020-02-07
"39","AS, NA","US, HI","AS, NA-US, HI",59,2020-02-08
"40","AS, NA","US, HI","AS, NA-US, HI",58,2020-02-09
"41","AS, NA","US, HI","AS, NA-US, HI",57,2020-02-10
"42","AS, NA","US, HI","AS, NA-US, HI",56,2020-02-11
"43","AS, NA","US, HI","AS, NA-US, HI",56,2020-02-12
"44","AS, NA","US, HI","AS, NA-US, HI",55,2020-02-13
"45","AS, NA","US, HI","AS, NA-US, HI",55,2020-02-14
"46","AS, NA","US, HI","AS, NA-US, HI",55,2020-02-15
"47","AS, NA","US, HI","AS, NA-US, HI",54,2020-02-16
"48","AS, NA","US, HI","AS, NA-US, HI",54,2020-02-17
"49","AS, NA","US, HI","AS, NA-US, HI",54,2020-02-18
"50","AS, NA","US, HI","AS, NA-US, HI",54,2020-02-19
"51","AS, NA","US, HI","AS, NA-US, HI",54,2020-02-20
"52","AS, NA","US, HI","AS, NA-US, HI",54,2020-02-21
